newid,lact_num,calv_date,alp_date,avg_milk,avg_thi3,avg_csi3,avg_thi30,avg_csi30,avg_precspring
349702,1,2012-09-24,2013-06-26,13.97,59.58,1044.43,61.30,996.90,148.61
419444,1,2015-02-08,2015-06-22,18.07,60.77,1000.82,56.85,1027.75,122.74
306465,3,2010-11-09,2011-06-03,12.00,57.99,1071.31,60.49,1028.87,133.61
60316,1,2001-02-27,2001-06-18,14.87,52.85,1064.11,54.10,1052.07,101.27
389192,3,2009-12-14,2010-05-29,20.30,62.26,996.89,58.40,1046.32,184.11
5398,5,2000-09-30,2001-05-26,12.83,69.60,966.33,64.20,1002.02,202.10
302132,5,2013-12-08,2014-06-10,15.40,64.99,992.25,61.06,1044.93,98.28
343337,4,2010-01-07,2010-06-27,22.84,54.72,1034.50,52.12,1077.96,149.62
23231,2,2001-12-07,2002-06-07,15.00,61.05,1085.87,62.35,1013.90,208.54
50551,3,2002-11-12,2003-06-15,12.60,63.48,975.32,60.73,1006.96,120.59
267485,1,2004-12-23,2005-06-20,15.93,62.12,944.38,60.68,1030.00,176.07
314310,8,2009-11-04,2010-06-11,20.37,67.77,1008.06,61.84,1038.75,228.78
394131,2,2015-02-09,2015-06-22,17.24,55.51,1044.62,56.71,1013.18,88.64
287672,5,2013-11-24,2014-07-08,9.60,62.17,1021.11,60.88,1047.85,164.15
46900,3,2000-11-22,2001-06-30,18.93,62.45,988.40,61.48,1018.78,52.21
224653,1,2004-11-14,2005-06-20,14.33,61.36,1018.62,58.72,1040.81,73.36
60768,2,2002-02-25,2002-06-04,15.31,52.00,1078.83,53.53,1064.64,149.33
381794,1,2009-12-05,2010-06-18,12.13,55.99,1180.77,59.93,1046.57,147.41
296201,2,2009-09-23,2010-06-14,17.90,56.42,1135.52,54.52,1084.73,107.09
206255,1,2006-01-24,2006-07-07,11.46,48.56,1090.12,46.97,1145.24,126.90
95470,1,2003-09-14,2004-06-17,10.60,61.84,993.95,60.42,1034.48,183.38
67687,2,2002-09-25,2003-06-13,6.73,68.51,962.74,65.48,971.70,135.07
147587,2,2003-01-24,2003-06-23,17.56,46.27,1148.47,45.81,1152.43,98.40
45329,2,2003-10-08,2004-07-15,13.33,62.23,994.49,60.53,1023.18,89.99
226698,7,2013-10-13,2014-06-23,15.63,59.88,1128.06,58.97,1066.42,188.53
304587,2,2010-10-30,2011-05-21,19.60,68.23,906.18,61.92,967.27,85.28
273015,7,2007-10-31,2008-06-18,12.80,52.84,1078.96,55.97,1064.06,121.04
418550,3,2014-01-01,2014-06-15,22.96,53.49,1038.03,51.75,1080.50,153.88
98705,8,2007-12-09,2008-06-13,21.23,61.07,1053.53,63.34,983.38,159.75
216874,1,2007-10-13,2008-06-18,12.00,57.91,1040.98,62.83,990.30,157.71
225286,1,2004-10-13,2005-06-05,18.47,53.36,1105.89,55.26,1075.40,132.34
